GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
8600000US71045,71045,ZCTA5 71045,50313,22218
8600000US71046,71046,ZCTA5 71046,43879,11655
8600000US71047,71047,ZCTA5 71047,57124,6731
8600000US71048,71048,ZCTA5 71048,-,**
8600000US71049,71049,ZCTA5 71049,46111,8000
8600000US71051,71051,ZCTA5 71051,47431,7316
8600000US71052,71052,ZCTA5 71052,30129,2845
8600000US71055,71055,ZCTA5 71055,31486,2405
8600000US71060,71060,ZCTA5 71060,45104,19387
8600000US71061,71061,ZCTA5 71061,36411,9859
8600000US71063,71063,ZCTA5 71063,39727,21128
8600000US71064,71064,ZCTA5 71064,29182,13114
8600000US71065,71065,ZCTA5 71065,32308,14459
8600000US71067,71067,ZCTA5 71067,44541,10023
8600000US71068,71068,ZCTA5 71068,34356,12792
8600000US71069,71069,ZCTA5 71069,25893,8557
8600000US71070,71070,ZCTA5 71070,40694,12846
8600000US71071,71071,ZCTA5 71071,42308,9840
8600000US71072,71072,ZCTA5 71072,36219,5972
8600000US71073,71073,ZCTA5 71073,30227,14825
8600000US71075,71075,ZCTA5 71075,28125,6164
8600000US71078,71078,ZCTA5 71078,54403,17639
8600000US71079,71079,ZCTA5 71079,-,**
8600000US71082,71082,ZCTA5 71082,32957,8488
8600000US71101,71101,ZCTA5 71101,18869,5388
8600000US71103,71103,ZCTA5 71103,19600,2069
8600000US71104,71104,ZCTA5 71104,39255,4467
8600000US71105,71105,ZCTA5 71105,54581,3707
8600000US71106,71106,ZCTA5 71106,53089,3974
8600000US71107,71107,ZCTA5 71107,38700,3870
8600000US71108,71108,ZCTA5 71108,31803,4793
8600000US71109,71109,ZCTA5 71109,23129,2400
8600000US71110,71110,ZCTA5 71110,55208,11835
8600000US71111,71111,ZCTA5 71111,53431,3555
8600000US71112,71112,ZCTA5 71112,51529,4059
8600000US71115,71115,ZCTA5 71115,54122,6773
8600000US71118,71118,ZCTA5 71118,44889,5616
8600000US71119,71119,ZCTA5 71119,48445,6221
8600000US71129,71129,ZCTA5 71129,36086,3530
8600000US71201,71201,ZCTA5 71201,46911,3843
8600000US71202,71202,ZCTA5 71202,22132,1586
8600000US71203,71203,ZCTA5 71203,41878,3166
8600000US71209,71209,ZCTA5 71209,-,**
8600000US71219,71219,ZCTA5 71219,52782,6294
8600000US71220,71220,ZCTA5 71220,31287,1996
8600000US71222,71222,ZCTA5 71222,27269,9194
8600000US71223,71223,ZCTA5 71223,25952,8173
8600000US71225,71225,ZCTA5 71225,57120,10364
8600000US71226,71226,ZCTA5 71226,33137,7159
8600000US71227,71227,ZCTA5 71227,53783,5440
8600000US71229,71229,ZCTA5 71229,46154,7446
8600000US71232,71232,ZCTA5 71232,36034,5770
8600000US71233,71233,ZCTA5 71233,24063,16298
